证券代码,证券简称,细分行业,Unnamed: 3,一级行业,细分行业.1
601398.SH,工商银行,国有大型银行Ⅲ,,银行,股份制银行Ⅲ
601939.SH,建设银行,国有大型银行Ⅲ,,房地产,住宅开发
601288.SH,农业银行,国有大型银行Ⅲ,,计算机,横向通用软件
601857.SH,中国石油,炼油化工,,商贸零售,商业物业经营
600941.SH,中国移动,电信运营商,,机械设备,轨交设备Ⅲ
601988.SH,中国银行,国有大型银行Ⅲ,,电力设备,电池化学品
600519.SH,贵州茅台,白酒Ⅲ,,建筑装饰,园林工程
600938.SH,中国海油,油气开采Ⅲ,,建筑材料,玻璃制造
300750.SZ,宁德时代,锂电池,,家用电器,冰洗
601138.SH,工业富联,消费电子零部件及组装,,纺织服饰,钟表珠宝
601318.SH,中国平安,保险Ⅲ,,农林牧渔,粮油加工
601628.SH,中国人寿,保险Ⅲ,,电子,面板
601088.SH,中国神华,动力煤,,电子,消费电子零部件及组装
600036.SH,招商银行,股份制银行Ⅲ,,综合,综合Ⅲ
002594.SZ,比亚迪,电动乘用车,,公用事业,火力发电
601899.SH,紫金矿业,铜,,医药生物,医药流通
688981.SH,中芯国际,集成电路制造,,汽车,底盘与发动机系统
300308.SZ,中际旭创,通信网络设备及器件,,房地产,商业地产
600028.SH,中国石化,炼油化工,,建筑装饰,其他专业工程
600900.SH,长江电力,水力发电,,计算机,IT服务Ⅲ
601328.SH,交通银行,国有大型银行Ⅲ,,环保,固废治理
601658.SH,邮储银行,国有大型银行Ⅲ,,机械设备,金属制品
000333.SZ,美的集团,空调,,农林牧渔,生猪养殖
688041.SH,海光信息,数字芯片设计,,电力设备,锂电池
601728.SH,中国电信,电信运营商,,建筑材料,其他建材
688256.SH,寒武纪,数字芯片设计,,房地产,物业管理
300502.SZ,新易盛,通信网络设备及器件,,石油石化,炼油化工
601998.SH,中信银行,股份制银行Ⅲ,,有色金属,铅锌
603993.SH,洛阳钼业,铜,,电子,其他电子Ⅲ
002475.SZ,立讯精密,消费电子零部件及组装,,通信,通信网络设备及器件
000858.SZ,五粮液,白酒Ⅲ,,建筑装饰,国际工程
601166.SH,兴业银行,股份制银行Ⅲ,,计算机,其他计算机设备
002379.SZ,宏桥控股,铝,,环保,综合环境治理
600276.SH,恒瑞医药,化学制剂,,通信,通信线缆及配套
688235.SH,百济神州-U,化学制剂,,交通运输,港口
601601.SH,中国太保,保险Ⅲ,,交通运输,机场
600030.SH,中信证券,证券Ⅲ,,石油石化,油品石化贸易
002371.SZ,北方华创,半导体设备,,交通运输,航空运输
600000.SH,浦发银行,股份制银行Ⅲ,,商贸零售,贸易Ⅲ
601869.SH,长飞光纤,通信线缆及配套,,医药生物,化学制剂
601319.SH,中国人保,保险Ⅲ,,公用事业,风力发电
603259.SH,药明康德,医疗研发外包,,传媒,电视广播Ⅲ
300059.SZ,东方财富,证券Ⅲ,,机械设备,工程机械整机
601211.SH,国泰海通,证券Ⅲ,,电力设备,光伏辅材
002415.SZ,海康威视,安防设备,,非银金融,证券Ⅲ
688795.SH,摩尔线程-U,数字芯片设计,,家用电器,空调
600309.SH,万华化学,聚氨酯,,电力设备,电网自动化设备
300394.SZ,天孚通信,通信网络设备及器件,,建筑材料,水泥制造
300274.SZ,阳光电源,逆变器,,医药生物,血液制品
002714.SZ,牧原股份,生猪养殖,,家用电器,家电零部件Ⅲ
600930.SH,华电新能,风力发电,,公用事业,燃气Ⅲ
601225.SH,陕西煤业,动力煤,,有色金属,锂
601816.SH,京沪高铁,铁路运输,,机械设备,机床工具
688802.SH,沐曦股份-U,数字芯片设计,,非银金融,租赁
300476.SZ,胜宏科技,印制电路板,,商贸零售,多业态零售
600150.SH,中国船舶,航海装备Ⅲ,,基础化工,粘胶
002384.SZ,东山精密,印制电路板,,基础化工,氮肥
603288.SH,海天味业,调味发酵品Ⅲ,,医药生物,中药Ⅲ
601919.SH,中远海控,航运,,社会服务,酒店
601898.SH,中煤能源,动力煤,,交通运输,高速公路
003816.SZ,中国广核,核力发电,,社会服务,自然景区
000338.SZ,潍柴动力,底盘与发动机系统,,轻工制造,大宗用纸
601600.SH,中国铝业,铝,,建筑装饰,基建市政工程
600989.SH,宝丰能源,煤化工,,商贸零售,百货
000001.SZ,平安银行,股份制银行Ⅲ,,计算机,垂直应用软件
000651.SZ,格力电器,空调,,医药生物,其他医疗服务
600406.SH,国电南瑞,电网自动化设备,,有色金属,黄金
688347.SH,华虹公司,集成电路制造,,基础化工,氯碱
601668.SH,中国建筑,房屋建设Ⅲ,,医药生物,医院
688012.SH,中微公司,半导体设备,,医药生物,其他生物制品
002142.SZ,宁波银行,城商行Ⅲ,,国防军工,地面兵装Ⅲ
600919.SH,江苏银行,城商行Ⅲ,,交通运输,航运
000792.SZ,盐湖股份,钾肥,,社会服务,旅游综合
600690.SH,海尔智家,冰洗,,基础化工,农药
601336.SH,新华保险,保险Ⅲ,,社会服务,培训教育
600547.SH,山东黄金,黄金,,食品饮料,肉制品
600188.SH,兖矿能源,动力煤,,机械设备,制冷空调设备
600031.SH,三一重工,工程机械整机,,非银金融,资产管理
300760.SZ,迈瑞医疗,医疗设备,,电力设备,输变电设备
002352.SZ,顺丰控股,快递,,家用电器,照明设备Ⅲ
601818.SH,光大银行,股份制银行Ⅲ,,环保,水务及水治理
600111.SH,北方稀土,稀土,,基础化工,钛白粉
002050.SZ,三花智控,家电零部件Ⅲ,,国防军工,军工电子Ⅲ
302132.SZ,中航成飞,军工电子Ⅲ,,汽车,商用载货车
601985.SH,中国核电,核力发电,,环保,环保设备Ⅲ
300124.SZ,汇川技术,工控设备,,煤炭,动力煤
600025.SH,华能水电,水力发电,,交通运输,铁路运输
601766.SH,中国中车,轨交设备Ⅲ,,房地产,房产租赁经纪
