证券代码,证券简称,总市值,PE(26E),PE(27E),T日预测2026年净利润中值,T-1日预测2026年净利润中值,T-30日预测2026年净利润中值,T日预测2027年净利润中值,T-1日预测2027年净利润中值,T-30日预测2027年净利润中值,T日评级机构家数,T-1日评级机构家数,所属一级行业,20200331,20200630,20200930,20201231,20210331,20210630,20210930,20211231,20220331,20220630,20220930,20221231,20230331,20230630,20230930,20231231,20240331,20240630,20240930,20241231,20250331,20250630,20250930,20251231
000001.SZ,平安银行,2154.0569199779998,5.0488864616022875,5.025152908464849,426.64,426.64,440.255,428.655,428.655,448.51,21,21,银行,0.024449241872951662,0.03355871074617859,0.03289073279068504,0.0598700659897945,0.057677556285788266,0.07837125575093107,0.053532780513033874,0.06682788112277495,0.0446006357999559,0.05630475542973552,0.032018504533828665,0.05827231666871415,0.023371995809682654,0.03230014962294067,0.019077723856683153,0.025539641849672265,0.02392832045375562,0.03125998650260526,0.03139643426038362,0.047357673770381574,0.02967807810311964,0.04884119924695432,0.030202687537496654,0.04906675634659109
000002.SZ,万科A,461.7184565277,-2.7698391354418335,-3.6641389812480614,-166.69504399000002,-166.69504399000002,-219.55,-126.01008283,-126.01008283,-146.065,7,7,房地产,0.09638043728062826,0.11187687791388246,0.08269864631478514,0.12113925541729459,0.08936048985989271,0.09608280052993362,0.07330798520711787,0.12835876439108976,0.08065149607389366,0.11168376311611543,0.09041418482936757,0.119760911766494,0.043765084425606726,0.05752469870915508,0.03357872177574623,0.059315510672046615,0.030275540981971893,0.08109803429272713,0.06973033159975478,0.08641818847694947,0.04994110177756124,0.0773959518663186,0.04622295604840442,0.05824298059211282
000004.SZ,*ST国华,4.434739447,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,计算机,0.1312002533249133,0.1461297343509343,0.00397289356920802,0.0032268564445923726,0.0,0.0009563466494803385,0.0,0.0053794884849160665,0.004594657390839945,3.8683160570326636e-05,0.0,0.0,0.0,0.0,0.008992930156923028,0.0003135687542609421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000006.SZ,深振业A,115.01957791919997,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,房地产,0.006424017494424486,0.002335645909835205,0.0,0.0021687486992452267,0.0,0.0035262351621992544,0.0,0.0034113458517091477,0.0,0.013558671977526648,0.0062476592228916964,0.008414161247225792,0.004605350233263004,0.011651424336705437,0.00650546814438555,0.014534636440413107,0.004739822030160643,0.008598524722818968,0.00926467909038167,0.006232724857232666,0.008644895526120897,0.009898685009648786,0.008545561265373473,0.008605059556350013
000007.SZ,全新好,46.424037896,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,商贸零售,0.0,2.8160074708225054e-05,0.0,0.00014953970707126405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1564673980379e-05,0.0,0.0006621483479929823,0.0,4.1564673980379e-05
000008.SZ,神州高铁,74.42874851420001,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,机械设备,0.0012282287810222053,0.012003848788919212,0.0,0.012364727846848899,0.0,0.0017045984794225957,0.0,0.0009511435028419485,3.5932577874838565e-05,0.0007067481381463414,0.0,0.0009853223853543338,0.0,0.0017916733301243527,0.0,0.0010491017307256417,0.0,0.00028549368714103466,0.0,0.00024163714067206179,0.0,0.0010090365848925047,0.0,0.0014335851598010407
000009.SZ,中国宝安,223.61785076549998,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,电力设备,0.021968276134894417,0.08044069637061031,0.00955888837042337,0.016966796072303794,0.0017764416129123345,0.11879053413649089,0.12945740273329134,0.10197531539567921,0.03405605678613076,0.06555670183372798,0.0169727978039035,0.04072260724608367,0.02015590060063894,0.04508985486213105,0.018300180318778714,0.0607673866464558,0.018526783018668867,0.05626557568498978,0.014292277416704404,0.056366580990749406,0.010350370829879656,0.05389437246194693,0.010217135445001212,0.05522020260813418
000010.SZ,美丽生态,42.6521000332,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,建筑装饰,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011224281720562236,0.0,0.0,0.0,0.0,0.0,0.0022557722980123284,0.0,0.0005030914192103224,0.0,0.0006250819917405756,0.0,0.0014514650148419333,0.0,0.0011849231442728353,0.0,0.00014421602896070118
000011.SZ,深物业A,49.823852091199996,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,房地产,0.004371037099775266,0.03186535105582293,0.028217154998973995,0.006389122998634715,0.0029051472957025855,0.012053163882676313,0.0,0.0026700195644225777,0.0008218805332045595,0.005523967900632375,0.0025257279614981087,0.008609946008451146,0.0026383637729587755,0.00785188610366275,0.003409339757307587,0.008670072258228337,0.002732955061504158,0.005575693000424903,0.005692256819610707,0.005438037983086329,0.004971995441771167,0.011273446751542647,0.007767376954868348,0.012310465483484008
000012.SZ,南玻A,134.7813683273,16.97498341653652,10.984626595541972,7.94,7.94,7.94,12.27,12.27,12.27,1,1,建筑材料,0.0,0.01848670445106647,0.0,0.012623407432273913,0.0018444850445431954,0.08921009817104403,0.034789374245171326,0.15398193657244502,0.09038536732516372,0.06919818948542841,0.004949162899332607,0.05824285684022984,0.002746660748651521,0.02071455137984439,0.0,0.011400301155070694,0.003390416991751068,0.01384549728224222,0.004069275675040252,0.044764499867556866,0.003253256925260817,0.04612408994659065,9.207291980486759e-05,0.028195127350214996
